flight_number,origin,destination,departure_time,arrival_time,status
100,SLC,BOS,08:00,17:50,on-time
206,DFW,STL,09:00,11:40,on-time
334,ORD,MIA,12:00,14:14,on-time
335,MIA,ORD,15:00,17:14,on-time
336,ORD,MIA,18:00,20:14,on-time
337,MIA,ORD,20:30,23:53,on-time
121,STL,SLC,07:00,09:13,on-time
122,STL,YYV,08:30,10:19,on-time
330,JFK,YYV,16:00,18:53,on-time
991,BOS,ORD,17:00,18:22,on-time
394,DFW,MIA,19:00,21:30,on-time
395,MIA,DFW,21:00,23:43,on-time
449,CDG,DEN,10:00,19:29,on-time
930,YYV,DCA,13:00,16:10,on-time
931,DCA,YYV,17:00,18:10,on-time
932,DCA,YYV,18:00,19:10,on-time
112,DCA,DEN,14:00,18:07,on-time